source,dest,weight
2552,4324,2
2300,3558,2
3037,4986,2
4941,4183,2
4501,1032,2
4501,4515,2
4501,2659,3
3803,4444,2
3803,3050,2
3803,3120,2
3803,3300,2
1340,2468,2
1340,4216,2
1340,4606,2
1340,1567,2
2193,3164,2
1997,3505,2
1997,4306,2
1997,2961,3
1997,1345,2
1997,1467,2
1997,2253,2
4736,3505,2
4736,1008,2
4736,2222,2
1905,1038,2
2867,1170,2
1420,4903,2
3709,4776,3
4289,2252,2
2900,2738,2
3558,1483,2
3558,1143,2
3128,2530,2
3128,4246,2
3841,4685,2
3841,1152,2
3841,1456,2
3903,1048,2
2507,1686,2
2507,1216,3
4620,3050,3
4620,3656,2
3365,3307,2
3365,3495,2
3276,1333,3
3276,2811,2
1326,1646,2
1326,4486,2
3552,2321,2
1967,3266,2
1663,2142,2
2632,1390,2
2632,4936,2
2632,1053,2
2632,3296,2
2270,3757,2
2270,4363,2
2270,1827,2
3811,2984,2
3811,4352,2
3811,1240,3
3811,2625,2
4766,1494,3
2436,3441,2
4875,2711,2
4875,4295,2
1587,4693,2
1587,2186,2
1587,4560,2
1587,1827,2
4038,1296,2
4038,4130,2
1603,2691,2
3111,1123,2
3111,3589,2
3111,2234,2
1456,4240,2
2022,1299,2
2022,2964,2
2505,2837,2
2505,3899,2
2505,4524,2
4851,3900,2
4293,3691,2
4293,3882,2
4293,2549,2
4293,4353,2
1202,4405,2
1202,3899,2
3699,2433,2
4152,1398,2
4152,1148,2
4152,3752,2
3746,4773,2
2560,1427,2
2560,4682,2
2560,1540,2
3886,4598,2
3886,2712,2
2932,3002,2
2932,3205,2
2932,2678,2
2932,4198,2
2932,3872,2
2932,2238,2
3337,1175,3
4931,1901,2
4931,1015,2
2623,4573,2
4555,2940,2
3635,2092,2
1306,3597,2
4591,1206,2
3915,3529,2
3915,2636,2
3915,1293,2
3915,1016,2
1127,3471,2
4828,3671,2
2489,3104,2
2489,4805,2
4092,3827,2
1279,4794,2
1279,2524,2
4760,4935,2
3987,3588,2
3987,1669,4
4106,1948,2
4338,1679,2
4166,4877,2
4166,2513,2
4166,3268,2
4699,2158,2
4699,1729,2
4699,4671,2
4747,2448,4
3822,4137,2
2288,2864,2
2184,1175,2
2184,4274,2
4835,2201,2
4835,1601,2
1514,3535,2
1514,2986,2
1514,1422,2
2359,2043,2
2359,3742,2
2238,3737,2
3922,3344,2
3922,1287,2
3922,4207,2
2206,1158,2
3942,1440,2
3942,2413,2
3296,2440,2
2001,1870,2
2001,2521,2
2764,3297,2
2760,3691,2
2760,2903,2
2760,1485,2
2760,1780,2
2760,4726,2
3768,2049,2
3812,4034,2
3812,4831,2
1482,4943,2
1482,3504,2
4720,3687,2
2397,1733,2
4487,3701,2
2460,2431,2
2460,4321,2
4509,4628,2
4509,1901,2
2267,1438,2
4891,1048,2
4891,1188,2
2914,2545,2
1085,4515,2
3206,4232,2
1395,1265,2
1395,2254,2
2465,4039,2
2465,4804,3
2465,4997,2
2465,4190,2
2465,2061,2
1181,3735,2
2814,4234,2
2235,1510,2
2353,3924,2
3449,1901,2
1058,2535,2
1027,4420,2
2229,3266,2
2229,1366,2
1649,1175,2
1649,4679,2
1649,1017,2
1649,4012,2
1649,4790,2
3679,3031,2
2212,1333,2
1507,2613,2
3429,3686,2
2013,2394,2
2885,3864,2
2885,2077,2
3283,4301,2
3268,2743,2
3268,2513,2
3677,4574,2
3495,2942,3
3495,3862,2
2469,2930,2
2469,2392,3
4498,1168,2
4498,3322,2
4326,2613,2
1117,3557,2
4645,1561,2
4645,3737,2
4459,4633,2
4392,4821,2
2600,1135,2
2600,4986,2
4170,1404,2
4170,4691,2
2055,1387,2
2055,4753,2
2480,4403,2
2441,1247,2
2441,4215,2
1054,2250,2
3245,2338,2
4217,3232,2
4217,3122,2
1001,3289,2
1683,1325,2
4040,2516,2
4073,2514,2
3700,4923,2
4002,3955,2
2209,3596,2
2816,1206,2
2659,4048,2
1144,3601,2
3300,4444,2
4240,4937,2
1643,2225,2
4212,4585,2
3543,1154,2
2525,2977,2
2525,1535,2
1264,3519,2
1264,3465,2
3507,1608,2
4524,2837,2
4524,3899,2
3262,3509,2
3262,1993,2
1656,3861,2
3180,3216,2
4934,4794,2
4934,4728,2
3398,4820,2
3737,1681,2
4261,2855,2
2435,2530,2
2435,3031,2
1086,2506,2
1086,1708,2
1992,1865,2
1992,4655,2
4700,3400,2
2272,4012,2
2453,1729,2
4486,1855,2
4486,3688,2
4486,3814,2
4486,3251,2
1580,1774,2
2920,2629,2
4996,3152,2
4489,2133,2
2723,3872,2
2813,2592,2
2694,4951,2
4017,3322,2
1422,3535,2
4728,4794,2
4728,2612,2
1155,3738,2
2119,3497,2
1962,3605,2
1491,2779,2
1491,1158,2
4060,3462,2
2840,1641,2
4273,4125,2
4273,1345,2
4273,3497,2
2504,3401,2
4129,4015,2
2066,3817,2
3483,3465,2
2067,3863,2
2908,2242,2
2908,2381,2
2293,1387,2
2293,4688,2
3718,4460,2
2857,1389,2
2857,4441,2
3120,2755,2
4796,1175,2
1833,2340,2
4004,2719,2
2394,3308,2
4691,1900,2
4959,1458,2
2454,2535,2
1734,3909,2
4605,3674,2
4864,1396,2
4864,3202,2
3474,3021,2
3899,4950,2
3899,4100,2
3899,2837,2
3899,4890,2
1737,3459,2
1737,2595,2
1946,2135,2
3018,2277,2
2524,2663,2
2747,3948,2
2747,1218,2
2691,4584,2
1632,1193,2
1722,1935,2
1438,4579,2
3958,3035,2
2861,2811,2
1509,4685,2
1509,4946,2
2364,2712,2
4740,3544,2
4740,1534,2
4196,4562,2
4196,1596,2
4670,3322,2
3165,4693,2
3165,4515,2
2608,1730,2
2040,4215,2
1327,4030,2
1327,1449,2
1332,3634,2
3748,3214,3
1827,3289,2
1827,4363,2
3584,3719,2
2716,4567,2
3797,2196,2
3752,3893,2
3752,1148,2
1659,3229,2
2068,4508,2
1800,1536,2
1800,4841,2
1800,3311,2
4104,4718,2
4975,3595,2
4697,4951,2
4697,2636,2
4742,2539,2
4742,3462,2
4742,4014,2
4852,4788,2
4440,1204,2
3497,1361,2
3497,4125,2
4460,3036,2
4303,2433,2
3141,2977,2
4442,3444,2
3164,3117,2
3164,1017,2
2568,1396,2
1856,2897,2
2196,4719,2
1216,1948,2
1158,2796,2
1158,4125,2
1158,2779,2
2087,3069,2
2087,1237,2
2245,1206,2
1347,2937,2
4632,4539,2
4632,2386,2
4822,1832,2
1283,3621,2
1283,2154,2
3997,1132,2
1401,3290,2
3297,4729,2
1170,4120,2
1170,1123,2
4171,4178,2
1366,3907,2
1366,3266,5
1366,4776,2
1234,4334,2
2349,4665,2
2678,4115,2
3232,3689,2
3232,1599,2
2340,3036,2
2340,1780,2
1832,2393,2
1512,2664,2
4686,3877,2
4686,1669,2
2755,2273,2
2070,4585,2
1894,2361,2
1776,1390,2
1990,4049,2
1379,2532,2
1379,4869,2
1929,3086,2
1929,2403,2
1929,1534,2
1929,1324,3
4223,4314,2
4916,2107,2
2518,4069,2
2518,4780,2
4321,4362,2
2432,4146,2
2432,1048,2
2292,3925,2
2517,1620,2
1499,3010,2
3426,1371,2
1384,2930,2
1384,2960,2
1081,1404,2
1171,3831,2
4189,2636,2
4455,4248,2
4257,4275,2
2107,1238,2
2107,1517,2
2211,2459,2
2125,1682,2
2125,1706,2
2261,1896,2
4165,2350,2
4165,4297,2
4165,1342,2
2336,3547,2
4434,2909,2
1780,3930,2
1780,3399,2
1780,3036,4
2106,1276,2
2599,3354,2
4841,3719,2
4841,1536,2
3047,2113,2
3580,2044,2
1146,3933,2
4890,3411,2
3717,3738,2
4117,3879,2
4641,3051,2
2344,2458,2
2344,3525,2
2643,3500,2
2643,2080,2
3525,4112,2
1231,4537,2
2868,3099,2
2243,3119,2
4384,4433,2
1646,1287,2
3289,3728,2
