source,dest,weight
tropical fruit,toilet cleaner,3
tropical fruit,make up remover,4
tropical fruit,ready soups,12
tropical fruit,pudding powder,11
tropical fruit,specialty vegetables,5
tropical fruit,salad dressing,4
tropical fruit,tea,18
tropical fruit,rice,30
tropical fruit,flower (seeds),45
tropical fruit,kitchen utensil,1
tropical fruit,jam,25
tropical fruit,honey,11
tropical fruit,cake bar,60
tropical fruit,organic products,10
tropical fruit,softener,27
tropical fruit,cocoa drinks,13
tropical fruit,nut snack,14
tropical fruit,rubbing alcohol,3
tropical fruit,skin care,14
tropical fruit,cream,12
tropical fruit,ketchup,20
tropical fruit,syrup,15
tropical fruit,abrasive cleaner,13
tropical fruit,liqueur,6
tropical fruit,seasonal products,67
tropical fruit,cooking chocolate,12
tropical fruit,tidbits,15
tropical fruit,whisky,7
tropical fruit,candles,47
tropical fruit,male cosmetics,26
tropical fruit,dishes,96
tropical fruit,meat spreads,20
tropical fruit,cereals,30
tropical fruit,flower soil/fertilizer,11
tropical fruit,kitchen towels,19
tropical fruit,roll products,51
tropical fruit,dental care,24
tropical fruit,mayonnaise,52
tropical fruit,soft cheese,107
tropical fruit,organic sausage,17
tropical fruit,snack products,19
tropical fruit,instant coffee,43
tropical fruit,specialty fat,20
tropical fruit,mustard,66
tropical fruit,soups,31
tropical fruit,sweet spreads,46
tropical fruit,bags,3
tropical fruit,long life bakery product,161
tropical fruit,chocolate marshmallow,44
tropical fruit,rum,26
tropical fruit,sauces,30
tropical fruit,waffles,158
tropical fruit,napkins,190
tropical fruit,spices,31
tropical fruit,baby cosmetics,3
tropical fruit,brandy,31
tropical fruit,frozen fruits,9
tropical fruit,canned fruit,16
tropical fruit,zwieback,47
tropical fruit,liver loaf,42
tropical fruit,prosecco,17
tropical fruit,bathroom cleaner,7
tropical fruit,cat food,108
tropical fruit,semi-finished bread,87
tropical fruit,cookware,11
tropical fruit,canned fish,77
tropical fruit,chewing gum,124
tropical fruit,canned vegetables,56
tropical fruit,light bulbs,20
tropical fruit,artif. sweetener,22
tropical fruit,hygiene articles,136
tropical fruit,frozen fish,65
tropical fruit,potato products,15
tropical fruit,nuts/prunes,21
tropical fruit,vinegar,39
tropical fruit,frozen dessert,58
tropical fruit,decalcifier,6
tropical fruit,spread cheese,70
tropical fruit,house keeping products,33
tropical fruit,frozen chicken,5
tropical fruit,soap,14
tropical fruit,cling film/bags,48
tropical fruit,female sanitary products,30
tropical fruit,white bread,210
tropical fruit,pet care,58
tropical fruit,Instant food products,36
