source,dest,weight
tropical fruit,toilet cleaner,1
tropical fruit,ready soups,3
tropical fruit,pudding powder,5
tropical fruit,specialty vegetables,2
tropical fruit,salad dressing,2
tropical fruit,tea,7
tropical fruit,rice,15
tropical fruit,flower (seeds),19
tropical fruit,jam,9
tropical fruit,honey,1
tropical fruit,cake bar,27
tropical fruit,organic products,3
tropical fruit,softener,14
tropical fruit,cocoa drinks,6
tropical fruit,nut snack,7
tropical fruit,rubbing alcohol,2
tropical fruit,skin care,7
tropical fruit,cream,2
tropical fruit,ketchup,8
tropical fruit,syrup,5
tropical fruit,abrasive cleaner,5
tropical fruit,liqueur,2
tropical fruit,seasonal products,25
tropical fruit,cooking chocolate,6
tropical fruit,tidbits,7
tropical fruit,whisky,1
tropical fruit,candles,17
tropical fruit,male cosmetics,8
tropical fruit,dishes,32
tropical fruit,meat spreads,9
tropical fruit,cereals,7
tropical fruit,flower soil/fertilizer,4
tropical fruit,kitchen towels,9
tropical fruit,roll products,18
tropical fruit,dental care,9
tropical fruit,mayonnaise,28
tropical fruit,soft cheese,34
tropical fruit,organic sausage,6
tropical fruit,snack products,9
tropical fruit,instant coffee,18
tropical fruit,specialty fat,5
tropical fruit,mustard,27
tropical fruit,soups,10
tropical fruit,sweet spreads,24
tropical fruit,bags,1
tropical fruit,long life bakery product,66
tropical fruit,chocolate marshmallow,13
tropical fruit,rum,17
tropical fruit,sauces,13
tropical fruit,waffles,82
tropical fruit,napkins,88
tropical fruit,spices,6
tropical fruit,brandy,10
tropical fruit,frozen fruits,4
tropical fruit,canned fruit,4
tropical fruit,zwieback,13
tropical fruit,liver loaf,14
tropical fruit,prosecco,6
tropical fruit,bathroom cleaner,6
tropical fruit,cat food,53
tropical fruit,semi-finished bread,45
tropical fruit,cookware,2
tropical fruit,canned fish,33
tropical fruit,chewing gum,50
tropical fruit,canned vegetables,27
tropical fruit,light bulbs,6
tropical fruit,artif. sweetener,11
tropical fruit,hygiene articles,49
tropical fruit,frozen fish,38
tropical fruit,potato products,4
tropical fruit,nuts/prunes,5
tropical fruit,vinegar,14
tropical fruit,frozen dessert,27
tropical fruit,decalcifier,2
tropical fruit,spread cheese,22
tropical fruit,house keeping products,10
tropical fruit,frozen chicken,1
tropical fruit,soap,7
tropical fruit,cling film/bags,17
tropical fruit,female sanitary products,13
tropical fruit,white bread,89
tropical fruit,pet care,17
tropical fruit,Instant food products,13
tropical fruit,salty snack,64
tropical fruit,specialty cheese,23
tropical fruit,baking powder,26
tropical fruit,dish cleaner,19
tropical fruit,sliced cheese,45
tropical fruit,frozen vegetables,91
tropical fruit,whipped/sour cream,163
tropical fruit,oil,63
tropical fruit,salt,30
tropical fruit,shopping bags,174
tropical fruit,margarine,99
tropical fruit,domestic eggs,134
tropical fruit,photo/film,15
tropical fruit,onions,70
tropical fruit,candy,63
tropical fruit,UHT-milk,84
tropical fruit,liquor (appetizer),21
tropical fruit,pickled vegetables,30
tropical fruit,liquor,36
tropical fruit,cream cheese,96
tropical fruit,hard cheese,58
tropical fruit,ice cream,51
tropical fruit,meat,67
tropical fruit,white wine,49
tropical fruit,cleaner,6
tropical fruit,condensed milk,29
tropical fruit,specialty chocolate,61
tropical fruit,dog food,14
tropical fruit,dessert,90
tropical fruit,bottled beer,167
tropical fruit,beverages,67
tropical fruit,finished products,19
tropical fruit,popcorn,13
tropical fruit,pasta,32
tropical fruit,curd,142
tropical fruit,newspapers,144
tropical fruit,sparkling wine,12
tropical fruit,fish,9
tropical fruit,processed cheese,43
tropical fruit,grapes,59
tropical fruit,detergent,42
tropical fruit,soda,319
tropical fruit,herbs,36
tropical fruit,frozen meals,69
tropical fruit,sugar,68
tropical fruit,flour,50
tropical fruit,frozen potato products,16
tropical fruit,red/blush wine,37
tropical fruit,curd cheese,12
tropical fruit,turkey,24
tropical fruit,ham,64
tropical fruit,misc. beverages,71
tropical fruit,coffee,127
tropical fruit,berries,87
tropical fruit,canned beer,165
tropical fruit,pastry,180
tropical fruit,pork,141
tropical fruit,root vegetables,224
tropical fruit,hamburger meat,74
tropical fruit,brown bread,135
